REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Education_group
2018,2016A000248,Non-profit institutions serving households (community organizations),Trade certificate,Average annual wages and salaries,Dollars,units,44922.0,True,False,False,False,False,2
2018,2016A000248,Non-profit institutions serving households (community organizations),University degree and higher,Average annual wages and salaries,Dollars,units,48119.0,True,False,False,False,False,3
2018,2016A000248,Business non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,36965.0,True,False,False,False,False,1
2018,2016A000248,Business non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,61849.0,True,False,False,False,False,2
2018,2016A000248,Business non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,61775.0,True,False,False,False,False,3
2018,2016A000248,Government non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,34385.0,True,False,False,False,False,1
2018,2016A000248,Government non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,49057.0,True,False,False,False,False,2
2018,2016A000248,Government non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,66189.0,True,False,False,False,False,3
2013,2016A000259,Total non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,27984.0,False,True,False,False,False,1
2013,2016A000259,Total non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,36641.0,False,True,False,False,False,2
2013,2016A000259,Total non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,53334.0,False,True,False,False,False,3
2013,2016A000259,Total non-profit institutions excluding governments,High school diploma and less,Average annual wages and salaries,Dollars,units,26804.0,False,True,False,False,False,1
2013,2016A000259,Total non-profit institutions excluding governments,Trade certificate,Average annual wages and salaries,Dollars,units,35120.0,False,True,False,False,False,2
2013,2016A000259,Total non-profit institutions excluding governments,University degree and higher,Average annual wages and salaries,Dollars,units,43107.0,False,True,False,False,False,3
2013,2016A000259,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual wages and salaries,Dollars,units,24435.0,False,True,False,False,False,1
2013,2016A000259,Non-profit institutions serving households (community organizations),Trade certificate,Average annual wages and salaries,Dollars,units,30427.0,False,True,False,False,False,2
2013,2016A000259,Non-profit institutions serving households (community organizations),University degree and higher,Average annual wages and salaries,Dollars,units,41793.0,False,True,False,False,False,3
2013,2016A000259,Business non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,31582.0,False,True,False,False,False,1
2013,2016A000259,Business non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,44327.0,False,True,False,False,False,2
2013,2016A000259,Business non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,48084.0,False,True,False,False,False,3
2013,2016A000259,Government non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,29166.0,False,True,False,False,False,1
2013,2016A000259,Government non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,37565.0,False,True,False,False,False,2
2013,2016A000259,Government non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,57940.0,False,True,False,False,False,3
2014,2016A000259,Total non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,28481.0,False,True,False,False,False,1
2014,2016A000259,Total non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,37695.0,False,True,False,False,False,2
2014,2016A000259,Total non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,54201.0,False,True,False,False,False,3
2014,2016A000259,Total non-profit institutions excluding governments,High school diploma and less,Average annual wages and salaries,Dollars,units,27199.0,False,True,False,False,False,1
2014,2016A000259,Total non-profit institutions excluding governments,Trade certificate,Average annual wages and salaries,Dollars,units,36193.0,False,True,False,False,False,2
2014,2016A000259,Total non-profit institutions excluding governments,University degree and higher,Average annual wages and salaries,Dollars,units,43764.0,False,True,False,False,False,3
2014,2016A000259,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual wages and salaries,Dollars,units,24847.0,False,True,False,False,False,1
2014,2016A000259,Non-profit institutions serving households (community organizations),Trade certificate,Average annual wages and salaries,Dollars,units,31275.0,False,True,False,False,False,2
2014,2016A000259,Non-profit institutions serving households (community organizations),University degree and higher,Average annual wages and salaries,Dollars,units,42458.0,False,True,False,False,False,3
2014,2016A000259,Business non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,31921.0,False,True,False,False,False,1
2014,2016A000259,Business non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,45669.0,False,True,False,False,False,2
2014,2016A000259,Business non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,48567.0,False,True,False,False,False,3
2014,2016A000259,Government non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,29750.0,False,True,False,False,False,1
2014,2016A000259,Government non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,38658.0,False,True,False,False,False,2
2014,2016A000259,Government non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,58899.0,False,True,False,False,False,3
2015,2016A000259,Total non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,29086.0,False,True,False,False,False,1
2015,2016A000259,Total non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,38811.0,False,True,False,False,False,2
2015,2016A000259,Total non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,54690.0,False,True,False,False,False,3
2015,2016A000259,Total non-profit institutions excluding governments,High school diploma and less,Average annual wages and salaries,Dollars,units,27882.0,False,True,False,False,False,1
2015,2016A000259,Total non-profit institutions excluding governments,Trade certificate,Average annual wages and salaries,Dollars,units,37613.0,False,True,False,False,False,2
2015,2016A000259,Total non-profit institutions excluding governments,University degree and higher,Average annual wages and salaries,Dollars,units,44537.0,False,True,False,False,False,3
2015,2016A000259,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual wages and salaries,Dollars,units,25120.0,False,True,False,False,False,1
2015,2016A000259,Non-profit institutions serving households (community organizations),Trade certificate,Average annual wages and salaries,Dollars,units,31897.0,False,True,False,False,False,2
2015,2016A000259,Non-profit institutions serving households (community organizations),University degree and higher,Average annual wages and salaries,Dollars,units,42885.0,False,True,False,False,False,3
2015,2016A000259,Business non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,33029.0,False,True,False,False,False,1
2015,2016A000259,Business non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,47507.0,False,True,False,False,False,2
2015,2016A000259,Business non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,50300.0,False,True,False,False,False,3
2015,2016A000259,Government non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,30360.0,False,True,False,False,False,1
2015,2016A000259,Government non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,39649.0,False,True,False,False,False,2
2015,2016A000259,Government non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,59451.0,False,True,False,False,False,3
2016,2016A000259,Total non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,28841.0,False,True,False,False,False,1
2016,2016A000259,Total non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,39067.0,False,True,False,False,False,2
2016,2016A000259,Total non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,55284.0,False,True,False,False,False,3
2016,2016A000259,Total non-profit institutions excluding governments,High school diploma and less,Average annual wages and salaries,Dollars,units,27726.0,False,True,False,False,False,1
2016,2016A000259,Total non-profit institutions excluding governments,Trade certificate,Average annual wages and salaries,Dollars,units,37403.0,False,True,False,False,False,2
2016,2016A000259,Total non-profit institutions excluding governments,University degree and higher,Average annual wages and salaries,Dollars,units,45475.0,False,True,False,False,False,3
2016,2016A000259,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual wages and salaries,Dollars,units,24884.0,False,True,False,False,False,1
