REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Age_group
2015,2016A000248,Total non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,61712.0,True,False,False,False,False,60
2015,2016A000248,Total non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,44941.0,True,False,False,False,False,70
2015,2016A000248,Total non-profit institutions excluding governments,15 to 24 years,Average annual wages and salaries,Dollars,units,14445.0,True,False,False,False,False,20
2015,2016A000248,Total non-profit institutions excluding governments,25 to 34 years,Average annual wages and salaries,Dollars,units,39101.0,True,False,False,False,False,30
2015,2016A000248,Total non-profit institutions excluding governments,35 to 44 years,Average annual wages and salaries,Dollars,units,49468.0,True,False,False,False,False,40
2015,2016A000248,Total non-profit institutions excluding governments,45 to 54 years,Average annual wages and salaries,Dollars,units,54246.0,True,False,False,False,False,50
2015,2016A000248,Total non-profit institutions excluding governments,55 to 64 years,Average annual wages and salaries,Dollars,units,54268.0,True,False,False,False,False,60
2015,2016A000248,Total non-profit institutions excluding governments,65 years old and over,Average annual wages and salaries,Dollars,units,34581.0,True,False,False,False,False,70
2015,2016A000248,Non-profit institutions serving households (community organizations),15 to 24 years,Average annual wages and salaries,Dollars,units,13435.0,True,False,False,False,False,20
2015,2016A000248,Non-profit institutions serving households (community organizations),25 to 34 years,Average annual wages and salaries,Dollars,units,35516.0,True,False,False,False,False,30
2015,2016A000248,Non-profit institutions serving households (community organizations),35 to 44 years,Average annual wages and salaries,Dollars,units,44140.0,True,False,False,False,False,40
2015,2016A000248,Non-profit institutions serving households (community organizations),45 to 54 years,Average annual wages and salaries,Dollars,units,48696.0,True,False,False,False,False,50
2015,2016A000248,Non-profit institutions serving households (community organizations),55 to 64 years,Average annual wages and salaries,Dollars,units,49303.0,True,False,False,False,False,60
2015,2016A000248,Non-profit institutions serving households (community organizations),65 years old and over,Average annual wages and salaries,Dollars,units,32410.0,True,False,False,False,False,70
2015,2016A000248,Business non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,16576.0,True,False,False,False,False,20
2015,2016A000248,Business non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,49026.0,True,False,False,False,False,30
2015,2016A000248,Business non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,66133.0,True,False,False,False,False,40
2015,2016A000248,Business non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,71045.0,True,False,False,False,False,50
2015,2016A000248,Business non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,70146.0,True,False,False,False,False,60
