REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Immigrant_status
2014,2016A000212,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,32098.0,False,False,True,False,False,1
2014,2016A000212,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,29820.0,False,False,True,False,False,0
2014,2016A000212,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,31000.0,False,False,True,False,False,1
2014,2016A000212,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,34491.0,False,False,True,False,False,0
2014,2016A000212,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,36996.0,False,False,True,False,False,1
2014,2016A000212,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,53975.0,False,False,True,False,False,0
2014,2016A000212,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,45998.0,False,False,True,False,False,1
2015,2016A000212,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,49252.0,False,False,True,False,False,0
2015,2016A000212,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,42695.0,False,False,True,False,False,1
2015,2016A000212,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,30883.0,False,False,True,False,False,0
2015,2016A000212,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,32950.0,False,False,True,False,False,1
2015,2016A000212,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,30008.0,False,False,True,False,False,0
2015,2016A000212,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,31614.0,False,False,True,False,False,1
2015,2016A000212,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,34577.0,False,False,True,False,False,0
2015,2016A000212,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,38362.0,False,False,True,False,False,1
2015,2016A000212,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,53761.0,False,False,True,False,False,0
2015,2016A000212,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,46376.0,False,False,True,False,False,1
2016,2016A000212,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,48848.0,False,False,True,False,False,0
2016,2016A000212,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,42853.0,False,False,True,False,False,1
2016,2016A000212,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,30791.0,False,False,True,False,False,0
2016,2016A000212,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,32544.0,False,False,True,False,False,1
2016,2016A000212,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,29739.0,False,False,True,False,False,0
2016,2016A000212,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,31168.0,False,False,True,False,False,1
