REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Gender_group
2017,2016A000259,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,43615.0,False,True,False,False,False,0
2017,2016A000259,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,46658.0,False,True,False,False,False,1
2017,2016A000259,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,34476.0,False,True,False,False,False,0
2017,2016A000259,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,43378.0,False,True,False,False,False,1
2017,2016A000259,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,33554.0,False,True,False,False,False,0
2017,2016A000259,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,53013.0,False,True,False,False,False,1
2017,2016A000259,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,37648.0,False,True,False,False,False,0
2017,2016A000259,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,60587.0,False,True,False,False,False,1
2017,2016A000259,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,48406.0,False,True,False,False,False,0
2018,2016A000259,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,55447.0,False,True,False,False,False,1
2018,2016A000259,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,44949.0,False,True,False,False,False,0
2018,2016A000259,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,47809.0,False,True,False,False,False,1
2018,2016A000259,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,36129.0,False,True,False,False,False,0
2018,2016A000259,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,44352.0,False,True,False,False,False,1
