REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000213,New Brunswick,Business non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,44770.0
2013,2016A000213,New Brunswick,Government non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,28780.0
2013,2016A000213,New Brunswick,Government non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,38430.0
2013,2016A000213,New Brunswick,Government non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,70108.0
2013,2016A000224,Quebec,Total non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,24910.0
2013,2016A000224,Quebec,Total non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,31974.0
2013,2016A000224,Quebec,Total non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,53004.0
2013,2016A000224,Quebec,Total non-profit institutions excluding governments,High school diploma and less,Average annual wages and salaries,Dollars,units,22386.0
2013,2016A000224,Quebec,Total non-profit institutions excluding governments,Trade certificate,Average annual wages and salaries,Dollars,units,27770.0
2013,2016A000224,Quebec,Total non-profit institutions excluding governments,University degree and higher,Average annual wages and salaries,Dollars,units,42810.0
2013,2016A000224,Quebec,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual wages and salaries,Dollars,units,21038.0
2013,2016A000224,Quebec,Non-profit institutions serving households (community organizations),Trade certificate,Average annual wages and salaries,Dollars,units,25690.0
2013,2016A000224,Quebec,Non-profit institutions serving households (community organizations),University degree and higher,Average annual wages and salaries,Dollars,units,41183.0
2013,2016A000224,Quebec,Business non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,25865.0
2013,2016A000224,Quebec,Business non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,33817.0
2013,2016A000224,Quebec,Business non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,48373.0
2013,2016A000224,Quebec,Government non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,26705.0
2013,2016A000224,Quebec,Government non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,33341.0
2013,2016A000224,Quebec,Government non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,57351.0
2013,2016A000235,Ontario,Total non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,27288.0
2013,2016A000235,Ontario,Total non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,37556.0
2013,2016A000235,Ontario,Total non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,57852.0
2013,2016A000235,Ontario,Total non-profit institutions excluding governments,High school diploma and less,Average annual wages and salaries,Dollars,units,25185.0
2013,2016A000235,Ontario,Total non-profit institutions excluding governments,Trade certificate,Average annual wages and salaries,Dollars,units,36743.0
2013,2016A000235,Ontario,Total non-profit institutions excluding governments,University degree and higher,Average annual wages and salaries,Dollars,units,49336.0
2013,2016A000235,Ontario,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual wages and salaries,Dollars,units,23135.0
2013,2016A000235,Ontario,Non-profit institutions serving households (community organizations),Trade certificate,Average annual wages and salaries,Dollars,units,33567.0
2013,2016A000235,Ontario,Non-profit institutions serving households (community organizations),University degree and higher,Average annual wages and salaries,Dollars,units,46625.0
2013,2016A000235,Ontario,Business non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,29484.0
2013,2016A000235,Ontario,Business non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,44644.0
2013,2016A000235,Ontario,Business non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,58859.0
2013,2016A000235,Ontario,Government non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,29329.0
2013,2016A000235,Ontario,Government non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,38142.0
2013,2016A000235,Ontario,Government non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,62469.0
2013,2016A000246,Manitoba,Total non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,23687.0
2013,2016A000246,Manitoba,Total non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,34233.0
2013,2016A000246,Manitoba,Total non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,51138.0
2013,2016A000246,Manitoba,Total non-profit institutions excluding governments,High school diploma and less,Average annual wages and salaries,Dollars,units,21099.0
2013,2016A000246,Manitoba,Total non-profit institutions excluding governments,Trade certificate,Average annual wages and salaries,Dollars,units,30910.0
2013,2016A000246,Manitoba,Total non-profit institutions excluding governments,University degree and higher,Average annual wages and salaries,Dollars,units,42410.0
2013,2016A000246,Manitoba,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual wages and salaries,Dollars,units,19633.0
2013,2016A000246,Manitoba,Non-profit institutions serving households (community organizations),Trade certificate,Average annual wages and salaries,Dollars,units,27898.0
2013,2016A000246,Manitoba,Non-profit institutions serving households (community organizations),University degree and higher,Average annual wages and salaries,Dollars,units,40479.0
2013,2016A000246,Manitoba,Business non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,27549.0
2013,2016A000246,Manitoba,Business non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,43821.0
2013,2016A000246,Manitoba,Business non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,54810.0
2013,2016A000246,Manitoba,Government non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,25572.0
2013,2016A000246,Manitoba,Government non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,35401.0
