REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000212,Nova Scotia,Government non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,57181.0
2013,2016A000212,Nova Scotia,Government non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,52154.0
2013,2016A000212,Nova Scotia,Government non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,33999.0
2013,2016A000213,New Brunswick,Total non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,16107.0
2013,2016A000213,New Brunswick,Total non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,43208.0
2013,2016A000213,New Brunswick,Total non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,53912.0
2013,2016A000213,New Brunswick,Total non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,54837.0
2013,2016A000213,New Brunswick,Total non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,47880.0
2013,2016A000213,New Brunswick,Total non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,26573.0
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,15 to 24 years,Average annual wages and salaries,Dollars,units,10674.0
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,25 to 34 years,Average annual wages and salaries,Dollars,units,28683.0
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,35 to 44 years,Average annual wages and salaries,Dollars,units,36877.0
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,45 to 54 years,Average annual wages and salaries,Dollars,units,37381.0
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,55 to 64 years,Average annual wages and salaries,Dollars,units,31832.0
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,65 years old and over,Average annual wages and salaries,Dollars,units,19741.0
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),15 to 24 years,Average annual wages and salaries,Dollars,units,10510.0
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),25 to 34 years,Average annual wages and salaries,Dollars,units,27432.0
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),35 to 44 years,Average annual wages and salaries,Dollars,units,35178.0
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),45 to 54 years,Average annual wages and salaries,Dollars,units,34800.0
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),55 to 64 years,Average annual wages and salaries,Dollars,units,30330.0
