REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000246,Manitoba,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,46824.0
2013,2016A000246,Manitoba,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,33284.0
2013,2016A000246,Manitoba,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,48045.0
2013,2016A000246,Manitoba,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,40927.0
2013,2016A000247,Saskatchewan,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,52965.0
2013,2016A000247,Saskatchewan,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,41963.0
2013,2016A000247,Saskatchewan,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,41001.0
2013,2016A000247,Saskatchewan,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,27835.0
2013,2016A000247,Saskatchewan,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,38546.0
2013,2016A000247,Saskatchewan,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,27142.0
2013,2016A000247,Saskatchewan,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,47566.0
2013,2016A000247,Saskatchewan,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,31555.0
2013,2016A000247,Saskatchewan,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,59250.0
2013,2016A000247,Saskatchewan,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,45977.0
2013,2016A000248,Alberta,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,60709.0
2013,2016A000248,Alberta,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,44609.0
2013,2016A000248,Alberta,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,51751.0
2013,2016A000248,Alberta,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,34617.0
2013,2016A000248,Alberta,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,46301.0
2013,2016A000248,Alberta,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,32613.0
2013,2016A000248,Alberta,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,62964.0
2013,2016A000248,Alberta,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,41628.0
2013,2016A000248,Alberta,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,66573.0
2013,2016A000248,Alberta,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,48096.0
2013,2016A000259,British Columbia,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,51678.0
2013,2016A000259,British Columbia,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,40902.0
2013,2016A000259,British Columbia,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,43035.0
2013,2016A000259,British Columbia,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,31879.0
2013,2016A000259,British Columbia,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,40612.0
2013,2016A000259,British Columbia,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,31414.0
2013,2016A000259,British Columbia,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,47754.0
2013,2016A000259,British Columbia,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,33626.0
2013,2016A000259,British Columbia,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,57937.0
2013,2016A000259,British Columbia,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,45215.0
2013,2016A000260,Yukon,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,51144.0
2013,2016A000260,Yukon,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,47598.0
2013,2016A000260,Yukon,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,47332.0
2013,2016A000260,Yukon,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,33378.0
2013,2016A000260,Yukon,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,43131.0
2013,2016A000260,Yukon,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,32318.0
2013,2016A000260,Yukon,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,75306.0
2013,2016A000260,Yukon,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,50444.0
2013,2016A000260,Yukon,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,56437.0
2013,2016A000260,Yukon,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,63687.0
2013,2016A000261,Northwest Territories,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,68661.0
2013,2016A000261,Northwest Territories,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,62966.0
2013,2016A000261,Northwest Territories,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,46106.0
2013,2016A000261,Northwest Territories,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,35947.0
2013,2016A000261,Northwest Territories,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,43221.0
2013,2016A000261,Northwest Territories,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,34864.0
2013,2016A000261,Northwest Territories,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,56802.0
2013,2016A000261,Northwest Territories,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,42963.0
2013,2016A000261,Northwest Territories,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,87952.0
2013,2016A000261,Northwest Territories,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,74431.0
2013,2016A000262,Nunavut,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,72706.0
2013,2016A000262,Nunavut,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,54053.0
2013,2016A000262,Nunavut,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,68403.0
2013,2016A000262,Nunavut,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,47896.0
2013,2016A000262,Nunavut,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,71353.0
2013,2016A000262,Nunavut,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,47286.0
2013,2016A000262,Nunavut,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,56522.0
2013,2016A000262,Nunavut,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,54176.0
2013,2016A000262,Nunavut,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,84287.0
2013,2016A000262,Nunavut,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,65820.0
